"Cost","Gamma","Epsilon","MSE","MSE_UCL","Time"
-5,3,0.8,1515.98864689571,2476.37280397561,0.0170376300811768
-5,4,0.8,1500.09377644812,2258.48860378181,0.0173430442810059
-5,5,0.8,1531.87619480348,2117.27462991137,0.0178775787353516
-5,6,0.8,1500.71736403287,2260.3163555436,0.018826961517334
-5,7,0.8,1530.74558514343,2539.66243161645,0.0184955596923828
-5,8,0.8,1542.25587707158,2204.59558573112,0.0249760150909424
-5,9,0.8,1483.46801357581,2147.09715517743,0.0276336669921875
-5,10,0.8,1530.49304175678,2102.8520915223,0.0204024314880371
-4,-25,0.8,1533.66287790309,2162.29913607842,0.0174274444580078
-4,-24,0.8,1530.11934795903,2222.82434646148,0.0178031921386719
-4,-23,0.8,1561.03661372365,2733.45868262009,0.0175430774688721
-4,-22,0.8,1489.53935603666,2234.83239641341,0.0172362327575684
-4,-21,0.8,1529.01461259683,2300.96542421118,0.0189423561096191
-4,-20,0.8,1531.43280216657,2299.17273775386,0.0161211490631104
-4,-19,0.8,1585.96146651128,2385.91485529526,0.0164105892181396
-4,-18,0.8,1539.71414978088,2351.41169163249,0.0162460803985596
-4,-17,0.8,1518.53693675018,2100.36663726382,0.0163671970367432
-4,-16,0.8,1538.93066827269,2202.85185795515,0.0160813331604004
-4,-15,0.8,1525.59102320479,2361.19049370235,0.0160973072052002
-4,-14,0.8,1515.62224887458,2255.75620282335,0.019078254699707
-4,-13,0.8,1515.4042594933,2100.89692791193,0.0162718296051025
-4,-12,0.8,1518.95622873868,2112.04786264798,0.0162479877471924
-4,-11,0.8,1511.72255338269,2042.67148100567,0.0163888931274414
-4,-10,0.8,1512.44374915123,2384.20166842128,0.0161757469177246
-4,-9,0.8,1545.84600722102,2005.22795193979,0.0161404609680176
-4,-8,0.8,1535.31265065828,2500.84238309546,0.0162396430969238
-4,-7,0.8,1456.90982376502,2341.93378119512,0.0188310146331787
-4,-6,0.8,1440.64199184515,2231.77235119308,0.0161674022674561
-4,-5,0.8,1463.32350690754,2051.60027311035,0.016162633895874
-4,-4,0.8,1401.44785601925,2213.00299235123,0.0161950588226318
-4,-3,0.8,1488.40451431521,2181.93422279836,0.016237735748291
